name,country,position,age,overall,potential,value,starter_pool
Orbelín Pineda,Mexico,MID,30,78,79,6000000,False
Hirving Lozano,Mexico,ATT,31,79,79,7000000,False
Jonathan David,Canada,ATT,26,86,88,50000000,False
Tajon Buchanan,Canada,ATT,27,79,82,12000000,False
Alphonso Davies,Canada,DEF,25,85,88,55000000,False
Stephen Eustáquio,Canada,MID,29,79,81,10000000,False
Tim Weah,USA,ATT,26,80,82,14000000,False
Leandro Paredes,Argentina,MID,31,79,79,6000000,False
Nicolás González,Argentina,ATT,28,82,83,20000000,False
Giuliano Simeone,Argentina,ATT,23,79,85,18000000,False
Lucas Stassin,Belgium,ATT,21,78,84,14000000,False
Kjell Peersman,Belgium,GK,21,78,84,9000000,False
Rocco Reitz,Germany,MID,24,78,84,13000000,False
Paris Brunner,Germany,ATT,20,78,87,17000000,False
Kacper Kozłowski,Poland,MID,22,78,84,13000000,False
Jakub Kamiński,Poland,ATT,24,79,83,12000000,False
Mariusz Fornalczyk,Poland,ATT,23,78,84,11000000,False
Samu Omorodion,Spain,ATT,22,82,88,36000000,False
Marc Guiu,Spain,ATT,20,78,86,17000000,False
Abu Kamara,England,ATT,22,78,84,11000000,False
Tom Cannon,Ireland,ATT,24,78,82,10000000,False
Luka Vušković,Croatia,DEF,19,78,88,16000000,False
Igor Julio,Brazil,DEF,28,79,80,9000000,False
Ismaël Doukouré,France,DEF,22,78,84,12000000,False
Désiré Azankpo,Benin,ATT,23,78,82,9000000,False
